idx,hair_color
0,black_hair
1,black_hair
2,black_hair
3,black_hair
4,black_hair
5,black_hair
6,black_hair
7,black_hair
8,black_hair
9,black_hair
10,black_hair
11,black_hair
12,black_hair
13,black_hair
14,black_hair
15,black_hair
16,black_hair
17,black_hair
18,black_hair
19,black_hair
20,black_hair
21,black_hair
22,black_hair
23,black_hair
24,black_hair
25,black_hair
26,black_hair
27,black_hair
28,black_hair
29,black_hair
30,black_hair
31,black_hair
32,black_hair
33,black_hair
34,black_hair
35,black_hair
36,black_hair
37,black_hair
38,black_hair
39,black_hair
40,black_hair
41,black_hair
42,black_hair
43,black_hair
44,black_hair
45,black_hair
46,black_hair
47,black_hair
48,black_hair
49,black_hair
50,black_hair
51,black_hair
52,black_hair
53,black_hair
54,black_hair
55,black_hair
56,black_hair
57,black_hair
58,black_hair
59,black_hair
60,black_hair
61,black_hair
62,black_hair
63,black_hair
64,black_hair
65,black_hair
66,black_hair
67,black_hair
68,black_hair
69,black_hair
70,black_hair
71,black_hair
72,black_hair
73,black_hair
74,black_hair
75,black_hair
76,black_hair
77,black_hair
78,black_hair
79,black_hair
80,black_hair
81,black_hair
82,black_hair
83,black_hair
84,black_hair
85,black_hair
86,black_hair
87,black_hair
88,black_hair
89,black_hair
90,black_hair
91,black_hair
92,black_hair
93,black_hair
94,black_hair
95,black_hair
96,black_hair
97,black_hair
98,black_hair
99,black_hair
100,blond_hair
101,blond_hair
102,blond_hair
103,blond_hair
104,blond_hair
105,blond_hair
106,blond_hair
107,blond_hair
108,blond_hair
109,blond_hair
110,blond_hair
111,blond_hair
112,blond_hair
113,blond_hair
114,blond_hair
115,blond_hair
116,blond_hair
117,blond_hair
118,blond_hair
119,blond_hair
120,blond_hair
121,blond_hair
122,blond_hair
123,blond_hair
124,blond_hair
125,blond_hair
126,blond_hair
127,blond_hair
128,blond_hair
129,blond_hair
130,blond_hair
131,blond_hair
132,blond_hair
133,blond_hair
134,blond_hair
135,blond_hair
136,blond_hair
137,blond_hair
138,blond_hair
139,blond_hair
140,blond_hair
141,blond_hair
142,blond_hair
143,blond_hair
144,blond_hair
145,blond_hair
146,blond_hair
147,blond_hair
148,blond_hair
149,blond_hair
150,blond_hair
151,blond_hair
152,blond_hair
153,blond_hair
154,blond_hair
155,blond_hair
156,blond_hair
157,blond_hair
158,blond_hair
159,blond_hair
160,blond_hair
161,blond_hair
162,blond_hair
163,blond_hair
164,blond_hair
165,blond_hair
166,blond_hair
167,blond_hair
168,blond_hair
169,blond_hair
170,blond_hair
171,blond_hair
172,blond_hair
173,blond_hair
174,blond_hair
175,blond_hair
176,blond_hair
177,blond_hair
178,blond_hair
179,blond_hair
180,blond_hair
181,blond_hair
182,blond_hair
183,blond_hair
184,blond_hair
185,blond_hair
186,blond_hair
187,blond_hair
188,blond_hair
189,blond_hair
190,blond_hair
191,blond_hair
192,blond_hair
193,blond_hair
194,blond_hair
195,blond_hair
196,blond_hair
197,blond_hair
198,blond_hair
199,blond_hair
200,brown_hair
201,brown_hair
202,brown_hair
203,brown_hair
204,brown_hair
205,brown_hair
206,brown_hair
207,brown_hair
208,brown_hair
209,brown_hair
210,brown_hair
211,brown_hair
212,brown_hair
213,brown_hair
214,brown_hair
215,brown_hair
216,brown_hair
217,brown_hair
218,brown_hair
219,brown_hair
220,brown_hair
221,brown_hair
222,brown_hair
223,brown_hair
224,brown_hair
225,brown_hair
226,brown_hair
227,brown_hair
228,brown_hair
229,brown_hair
230,brown_hair
231,brown_hair
232,brown_hair
233,brown_hair
234,brown_hair
235,brown_hair
236,brown_hair
237,brown_hair
238,brown_hair
239,brown_hair
240,brown_hair
241,brown_hair
242,brown_hair
243,brown_hair
244,brown_hair
245,brown_hair
246,brown_hair
247,brown_hair
248,brown_hair
249,brown_hair
250,brown_hair
251,brown_hair
252,brown_hair
253,brown_hair
254,brown_hair
255,brown_hair
256,brown_hair
257,brown_hair
258,brown_hair
259,brown_hair
260,brown_hair
261,brown_hair
262,brown_hair
263,brown_hair
264,brown_hair
265,brown_hair
266,brown_hair
267,brown_hair
268,brown_hair
269,brown_hair
270,brown_hair
271,brown_hair
272,brown_hair
273,brown_hair
274,brown_hair
275,brown_hair
276,brown_hair
277,brown_hair
278,brown_hair
279,brown_hair
280,brown_hair
281,brown_hair
282,brown_hair
283,brown_hair
284,brown_hair
285,brown_hair
286,brown_hair
287,brown_hair
288,brown_hair
289,brown_hair
290,brown_hair
291,brown_hair
292,brown_hair
293,brown_hair
294,brown_hair
295,brown_hair
296,brown_hair
297,brown_hair
298,brown_hair
299,brown_hair
300,gray_hair
301,gray_hair
302,gray_hair
