file,idx,eyeglasses,identity
000096.jpg,0,0,4262
000101.jpg,1,0,4988
000110.jpg,2,0,4731
000110.jpg,2,0,4731
000179.jpg,3,0,4258
000203.jpg,4,0,1322
000245.jpg,5,0,4686
000253.jpg,6,0,608
000253.jpg,6,0,608
000329.jpg,7,0,2030
000416.jpg,8,0,3501
000475.jpg,9,0,8916
000502.jpg,10,0,8365
000703.jpg,11,0,9730
000853.jpg,12,0,492
000861.jpg,13,0,6263
000922.jpg,10,0,8365
001030.jpg,14,0,3847
001095.jpg,15,0,4161
001098.jpg,16,0,5086
001222.jpg,6,0,608
001229.jpg,17,0,6036
001346.jpg,18,0,496
001349.jpg,19,0,3500
001442.jpg,20,0,5145
001482.jpg,20,0,5145
001553.jpg,21,0,2820
001625.jpg,22,0,9987
001625.jpg,22,0,9987
001786.jpg,23,0,1757
001786.jpg,23,0,1757
001892.jpg,24,0,433
002021.jpg,25,0,4244
002238.jpg,25,0,4244
002238.jpg,25,0,4244
002279.jpg,26,0,3745
002314.jpg,27,0,5375
002318.jpg,28,0,8412
002519.jpg,29,0,1245
002558.jpg,21,0,2820
002584.jpg,10,0,8365
002622.jpg,30,0,7418
002757.jpg,10,0,8365
002821.jpg,31,0,9944
002826.jpg,15,0,4161
002862.jpg,32,0,1956
002941.jpg,1,0,4988
002983.jpg,11,0,9730
003073.jpg,33,0,6398
003075.jpg,6,0,608
003171.jpg,11,0,9730
003233.jpg,34,0,3480
003295.jpg,35,0,8501
003311.jpg,36,0,9087
003336.jpg,37,0,5165
003409.jpg,3,0,4258
003416.jpg,38,0,5190
003430.jpg,12,0,492
003431.jpg,39,0,8123
003435.jpg,40,0,7409
003568.jpg,21,0,2820
003615.jpg,41,0,4691
003647.jpg,26,0,3745
003666.jpg,42,0,8504
003749.jpg,43,0,8372
003751.jpg,44,0,1279
003871.jpg,30,0,7418
003911.jpg,1,0,4988
003911.jpg,1,0,4988
003952.jpg,8,0,3501
003995.jpg,38,0,5190
004009.jpg,45,0,1559
004067.jpg,31,0,9944
004092.jpg,46,0,1944
004142.jpg,14,0,3847
004142.jpg,14,0,3847
004193.jpg,7,0,2030
004277.jpg,24,0,433
004278.jpg,47,0,8430
004357.jpg,48,0,977
004362.jpg,49,0,5146
004387.jpg,50,0,6016
004563.jpg,51,0,8424
004627.jpg,15,0,4161
004671.jpg,52,0,1990
004717.jpg,37,0,5165
004909.jpg,11,0,9730
005117.jpg,39,0,8123
005117.jpg,39,0,8123
005151.jpg,3,0,4258
005265.jpg,21,0,2820
005539.jpg,15,0,4161
005699.jpg,15,0,4161
005751.jpg,25,0,4244
005890.jpg,43,0,8372
005896.jpg,46,0,1944
005946.jpg,45,0,1559
005950.jpg,53,0,8968
006148.jpg,9,0,8916
006201.jpg,54,0,6142
006219.jpg,39,0,8123
006405.jpg,55,0,7004
006478.jpg,3,0,4258
006478.jpg,3,0,4258
006656.jpg,45,0,1559
006762.jpg,28,0,8412
006840.jpg,56,0,8028
006917.jpg,57,0,6878
006935.jpg,19,0,3500
006953.jpg,58,0,2610
007039.jpg,59,0,1410
007062.jpg,54,0,6142
007062.jpg,54,0,6142
007276.jpg,43,0,8372
007298.jpg,52,0,1990
007298.jpg,52,0,1990
007472.jpg,59,0,1410
007575.jpg,37,0,5165
007579.jpg,24,0,433
007770.jpg,0,0,4262
007863.jpg,45,0,1559
007879.jpg,5,0,4686
007894.jpg,2,0,4731
007941.jpg,33,0,6398
007962.jpg,48,0,977
007970.jpg,60,0,1384
008071.jpg,61,0,2316
008118.jpg,40,0,7409
008200.jpg,57,0,6878
008235.jpg,21,0,2820
008239.jpg,27,0,5375
008254.jpg,13,0,6263
008260.jpg,47,0,8430
008286.jpg,21,0,2820
008366.jpg,62,0,9962
008447.jpg,60,0,1384
008469.jpg,29,0,1245
008538.jpg,63,0,2832
008555.jpg,49,0,5146
008580.jpg,64,0,7647
008669.jpg,29,0,1245
008677.jpg,43,0,8372
008688.jpg,44,0,1279
008707.jpg,12,0,492
008732.jpg,65,0,8707
008763.jpg,65,0,8707
008763.jpg,65,0,8707
008888.jpg,4,0,1322
009001.jpg,5,0,4686
009067.jpg,61,0,2316
009205.jpg,23,0,1757
009306.jpg,41,0,4691
009481.jpg,34,0,3480
009498.jpg,36,0,9087
009671.jpg,43,0,8372
009827.jpg,22,0,9987
009884.jpg,12,0,492
009901.jpg,32,0,1956
009952.jpg,4,0,1322
010068.jpg,23,0,1757
010076.jpg,15,0,4161
010084.jpg,29,0,1245
010084.jpg,29,0,1245
010089.jpg,0,0,4262
010092.jpg,23,0,1757
010110.jpg,51,0,8424
010150.jpg,66,0,8834
010164.jpg,64,0,7647
010167.jpg,13,0,6263
010233.jpg,67,0,1916
010290.jpg,67,0,1916
010294.jpg,27,0,5375
010328.jpg,44,0,1279
010397.jpg,68,0,8518
010483.jpg,11,0,9730
010710.jpg,7,0,2030
010725.jpg,69,0,2295
010936.jpg,70,0,6672
010977.jpg,56,0,8028
010999.jpg,26,0,3745
011160.jpg,27,0,5375
011169.jpg,41,0,4691
011215.jpg,64,0,7647
011262.jpg,24,0,433
011271.jpg,34,0,3480
011335.jpg,32,0,1956
011335.jpg,32,0,1956
011335.jpg,32,0,1956
011340.jpg,39,0,8123
011348.jpg,35,0,8501
011348.jpg,35,0,8501
011446.jpg,61,0,2316
011573.jpg,71,0,4255
011596.jpg,71,0,4255
