file,idx,race,identity
000088.jpg,0,Asian,5578
000211.jpg,1,Asian,1817
000220.jpg,2,Asian,4288
000331.jpg,3,Asian,8469
000361.jpg,4,Asian,9886
000412.jpg,5,Asian,147
000415.jpg,6,Asian,3023
000416.jpg,7,Asian,3501
000564.jpg,3,Asian,8469
000627.jpg,8,Asian,1811
000649.jpg,9,Asian,5341
000668.jpg,10,Asian,9023
000682.jpg,11,Asian,3981
000717.jpg,12,Asian,6286
000748.jpg,13,Asian,3920
000830.jpg,14,Asian,4166
000936.jpg,15,Asian,10080
001003.jpg,8,Asian,1811
001017.jpg,16,Asian,3839
001180.jpg,17,Asian,6921
001197.jpg,3,Asian,8469
001264.jpg,11,Asian,3981
001282.jpg,18,Asian,10089
001317.jpg,19,Asian,5447
001330.jpg,20,Asian,6971
001350.jpg,21,Asian,4014
001365.jpg,22,Asian,10082
001402.jpg,23,Asian,10093
001487.jpg,10,Asian,9023
001551.jpg,24,Asian,3916
001580.jpg,25,Asian,1875
001637.jpg,26,Asian,8566
001646.jpg,22,Asian,10082
001762.jpg,8,Asian,1811
001821.jpg,5,Asian,147
001951.jpg,27,Asian,5069
002070.jpg,10,Asian,9023
002079.jpg,28,Asian,8940
002101.jpg,29,Asian,3853
002196.jpg,30,Asian,5747
002249.jpg,31,Asian,1223
002319.jpg,32,Asian,3923
002371.jpg,33,Asian,5050
002378.jpg,34,Asian,4582
002514.jpg,35,Asian,6188
002520.jpg,36,Asian,9915
002575.jpg,37,Asian,1264
002669.jpg,38,Asian,10086
002701.jpg,13,Asian,3920
002721.jpg,23,Asian,10093
002778.jpg,14,Asian,4166
002806.jpg,39,Asian,10085
002879.jpg,40,Asian,8468
002972.jpg,41,Asian,9135
003014.jpg,38,Asian,10086
003143.jpg,42,Asian,6633
003180.jpg,43,Asian,3024
003217.jpg,10,Asian,9023
003240.jpg,29,Asian,3853
003304.jpg,44,Asian,5491
003351.jpg,28,Asian,8940
003383.jpg,43,Asian,3024
003537.jpg,20,Asian,6971
003581.jpg,12,Asian,6286
003634.jpg,2,Asian,4288
003640.jpg,15,Asian,10080
003689.jpg,40,Asian,8468
003809.jpg,45,Asian,5549
003952.jpg,7,Asian,3501
003982.jpg,24,Asian,3916
004061.jpg,22,Asian,10082
004152.jpg,46,Asian,8644
004321.jpg,47,Asian,3959
004488.jpg,48,Asian,23
004505.jpg,49,Asian,10023
004551.jpg,38,Asian,10086
004565.jpg,45,Asian,5549
004601.jpg,50,Asian,6876
004648.jpg,51,Asian,6877
004901.jpg,52,Asian,4143
004973.jpg,33,Asian,5050
004991.jpg,53,Asian,3980
005072.jpg,54,Asian,8390
005076.jpg,36,Asian,9915
005103.jpg,48,Asian,23
005111.jpg,1,Asian,1817
005227.jpg,52,Asian,4143
005256.jpg,13,Asian,3920
005296.jpg,55,Asian,3730
005335.jpg,18,Asian,10089
005389.jpg,33,Asian,5050
005423.jpg,54,Asian,8390
005448.jpg,16,Asian,3839
005511.jpg,11,Asian,3981
005579.jpg,38,Asian,10086
005733.jpg,18,Asian,10089
005816.jpg,40,Asian,8468
005874.jpg,14,Asian,4166
005912.jpg,56,Asian,6119
005917.jpg,3,Asian,8469
006002.jpg,37,Asian,1264
006173.jpg,31,Asian,1223
006416.jpg,39,Asian,10085
006432.jpg,57,Asian,3168
006486.jpg,38,Asian,10086
006657.jpg,49,Asian,10023
006720.jpg,10,Asian,9023
007014.jpg,3,Asian,8469
007119.jpg,11,Asian,3981
007134.jpg,8,Asian,1811
007153.jpg,16,Asian,3839
007162.jpg,49,Asian,10023
007163.jpg,15,Asian,10080
007199.jpg,13,Asian,3920
007252.jpg,3,Asian,8469
007285.jpg,14,Asian,4166
007287.jpg,18,Asian,10089
007409.jpg,49,Asian,10023
007456.jpg,43,Asian,3024
007471.jpg,34,Asian,4582
007578.jpg,46,Asian,8644
007645.jpg,58,Asian,10072
007680.jpg,1,Asian,1817
007709.jpg,59,Asian,7371
007733.jpg,50,Asian,6876
007762.jpg,58,Asian,10072
007775.jpg,34,Asian,4582
007806.jpg,29,Asian,3853
007832.jpg,60,Asian,4636
007878.jpg,23,Asian,10093
008109.jpg,19,Asian,5447
008279.jpg,47,Asian,3959
008349.jpg,61,Asian,7369
008704.jpg,62,Asian,6922
008715.jpg,30,Asian,5747
008767.jpg,57,Asian,3168
008899.jpg,6,Asian,3023
008951.jpg,4,Asian,9886
009015.jpg,63,Asian,6658
009114.jpg,17,Asian,6921
009147.jpg,28,Asian,8940
009174.jpg,26,Asian,8566
009326.jpg,54,Asian,8390
009395.jpg,36,Asian,9915
009453.jpg,16,Asian,3839
009503.jpg,51,Asian,6877
009532.jpg,12,Asian,6286
009718.jpg,53,Asian,3980
009818.jpg,9,Asian,5341
009929.jpg,17,Asian,6921
010066.jpg,20,Asian,6971
010070.jpg,47,Asian,3959
010169.jpg,37,Asian,1264
010344.jpg,28,Asian,8940
010418.jpg,53,Asian,3980
010422.jpg,64,Asian,4435
010435.jpg,4,Asian,9886
010517.jpg,50,Asian,6876
010554.jpg,65,Asian,10055
010564.jpg,30,Asian,5747
010598.jpg,27,Asian,5069
010630.jpg,55,Asian,3730
010770.jpg,32,Asian,3923
010811.jpg,62,Asian,6922
010912.jpg,42,Asian,6633
010975.jpg,56,Asian,6119
011120.jpg,33,Asian,5050
011168.jpg,26,Asian,8566
011235.jpg,64,Asian,4435
011412.jpg,49,Asian,10023
011455.jpg,42,Asian,6633
011504.jpg,29,Asian,3853
011674.jpg,8,Asian,1811
011679.jpg,66,Asian,10083
011932.jpg,61,Asian,7369
012064.jpg,3,Asian,8469
012112.jpg,61,Asian,7369
012234.jpg,67,Asian,145
012241.jpg,50,Asian,6876
012245.jpg,47,Asian,3959
012558.jpg,68,Asian,4197
012606.jpg,14,Asian,4166
012652.jpg,26,Asian,8566
012819.jpg,24,Asian,3916
013029.jpg,56,Asian,6119
013570.jpg,24,Asian,3916
013659.jpg,67,Asian,145
013735.jpg,64,Asian,4435
013786.jpg,59,Asian,7371
013806.jpg,21,Asian,4014
013948.jpg,20,Asian,6971
014003.jpg,62,Asian,6922
014098.jpg,49,Asian,10023
014129.jpg,36,Asian,9915
014131.jpg,11,Asian,3981
014135.jpg,3,Asian,8469
014218.jpg,50,Asian,6876
014229.jpg,31,Asian,1223
014258.jpg,39,Asian,10085
014311.jpg,29,Asian,3853
014487.jpg,69,Asian,8799
014495.jpg,14,Asian,4166
014662.jpg,34,Asian,4582
014665.jpg,63,Asian,6658
014797.jpg,44,Asian,5491
014876.jpg,13,Asian,3920
014938.jpg,27,Asian,5069
015047.jpg,70,Asian,4583
015093.jpg,68,Asian,4197
015204.jpg,69,Asian,8799
015251.jpg,54,Asian,8390
015274.jpg,25,Asian,1875
015299.jpg,8,Asian,1811
015314.jpg,58,Asian,10072
015395.jpg,49,Asian,10023
015521.jpg,50,Asian,6876
015540.jpg,7,Asian,3501
015723.jpg,64,Asian,4435
015767.jpg,13,Asian,3920
015930.jpg,18,Asian,10089
015938.jpg,5,Asian,147
016052.jpg,37,Asian,1264
016116.jpg,16,Asian,3839
016134.jpg,38,Asian,10086
016200.jpg,65,Asian,10055
016284.jpg,57,Asian,3168
016360.jpg,3,Asian,8469
016457.jpg,40,Asian,8468
016635.jpg,35,Asian,6188
016742.jpg,40,Asian,8468
016746.jpg,18,Asian,10089
017210.jpg,71,Asian,5748
017216.jpg,13,Asian,3920
017328.jpg,17,Asian,6921
017490.jpg,17,Asian,6921
017607.jpg,61,Asian,7369
017735.jpg,55,Asian,3730
017749.jpg,52,Asian,4143
017761.jpg,61,Asian,7369
017866.jpg,62,Asian,6922
017877.jpg,22,Asian,10082
017920.jpg,46,Asian,8644
017931.jpg,22,Asian,10082
018007.jpg,67,Asian,145
018091.jpg,20,Asian,6971
018151.jpg,33,Asian,5050
018166.jpg,37,Asian,1264
018208.jpg,54,Asian,8390
018284.jpg,68,Asian,4197
018344.jpg,68,Asian,4197
018410.jpg,2,Asian,4288
018464.jpg,55,Asian,3730
018512.jpg,68,Asian,4197
018588.jpg,66,Asian,10083
018633.jpg,22,Asian,10082
018682.jpg,0,Asian,5578
018690.jpg,34,Asian,4582
018734.jpg,31,Asian,1223
018747.jpg,33,Asian,5050
018756.jpg,17,Asian,6921
018880.jpg,27,Asian,5069
018932.jpg,62,Asian,6922
019007.jpg,6,Asian,3023
019098.jpg,16,Asian,3839
019231.jpg,52,Asian,4143
019277.jpg,29,Asian,3853
019319.jpg,2,Asian,4288
019350.jpg,44,Asian,5491
019451.jpg,33,Asian,5050
019513.jpg,48,Asian,23
019559.jpg,51,Asian,6877
019562.jpg,72,Asian,7901
019572.jpg,73,Asian,4068
019656.jpg,65,Asian,10055
019754.jpg,64,Asian,4435
019798.jpg,16,Asian,3839
019835.jpg,59,Asian,7371
019969.jpg,43,Asian,3024
020003.jpg,33,Asian,5050
020201.jpg,20,Asian,6971
020203.jpg,14,Asian,4166
020315.jpg,66,Asian,10083
020329.jpg,27,Asian,5069
020351.jpg,40,Asian,8468
020367.jpg,13,Asian,3920
020493.jpg,72,Asian,7901
020498.jpg,33,Asian,5050
020532.jpg,35,Asian,6188
020579.jpg,65,Asian,10055
020617.jpg,54,Asian,8390
020643.jpg,41,Asian,9135
020676.jpg,74,Asian,10060
020841.jpg,70,Asian,4583
